keywords,id,year,_title,_material,_dimension,_inscription,_provenance
"male portrait, painting, female portrait, group portrait, royal portrait",PA-F00912-0029,1979,Commemorative Triptych Of The St John Family,,,,"St Mary's, Lydiard Tregoze, Wilts."
"painting, female portrait, royal portrait",PA-F00914-0045,1974,"Mary, D Of Mr Justinian Lewen Of Otterden, Kent Wife Of Brook Bridges",,,,"Private Collection, U. K."
"painting, female portrait, royal portrait",PA-F00915-0031,1985,Jemima (ca.rew) Duchess Of Kent (-1728),,,,Private Collection
"painting, female portrait, miscellaneous engraving",PA-F00916-0023,1966,Back Of 'portrait Of J H Mortineis Mother,,,,"Andrew Robinson, Reading"
"painting, female portrait, royal portrait",PA-F00916-0091,1984,Lady Rachel Sandford,,,,Private Collection
"painting, female portrait",PA-F00916-0099,1973,"Catherine (Okeover), M 1647 Sir Robert Shirley, 4th Bt (She Died 1672)",,0. 889 x 0. 609 (30 x 24 inches),,"Earl Ferrers, Hedenham Hall, Norfolk."
"painting, female portrait",PA-F00917-0003,1984,A Lady As Diana,,0. 74 x 0. 84 (29 x 33 inches ),,Private Collection
"painting, female portrait",PA-F00917-0017,1984,Unknown Woman,,,,Private Collection
"painting, female portrait, royal portrait",PA-F00917-0019,1980,Unknown Noble Lady Of The Paris Family,On panel,0. 711 x 0. 838 (28 x 33 inches ),Inscribed: on carved wooden frame: Aetatis Suae 64; Coat of arms is that of the Paris Family,"Gunton Park sale, September 26th, 1980 (1610)"
"painting, female portrait",PA-F00917-0079,1975,Portrait Of A Lady,,,,"Lt Col A. M. Scott, West Court House, Inkpen, Berks. In The Care of the N. A. C. F. (1975)"
"painting, british landscape",PA-F00918-0011,1977,"View Of Averhem Park, Nottinghamshire, From The East",,1. 02 x 1. 94 (40 1/4 x 76 3/8 inches ),,"sale Henry Spencer & Sons, Retford 9 April 1976 (withdrawn) Mr & Mrs Guy Tetley."
"painting, british landscape",PA-F00918-0019,1964,A View Of Bath,,27 1/4 x 35 1/2 inches,,Earl of Bessborough
"painting, british landscape",PA-F00918-0071,1979,"Denham Place, Bucks",,1. 000 x 1. 230 (39 1/2 x 48 1/2 inches ),,"Lady Vansittart, Denham Place. Her sale, Sotheby's 18 Deca. 1968 (210), bought Sabin Galleries, London. Paul Mellon (1907–1999)"
"painting, british landscape",PA-F00919-0005,1964,View Over The River Towards Lambeth,,25 3/4 x 62 inches,,"O. K. Whatley Esq. , Cowden, Kent"
"painting, british landscape",PA-F00919-0011,1964,View Of Lambeth Palace,,,,Commander Colin Balfour (Brooking owner)
"painting, british landscape",PA-F00919-0055,1966,detail From Charing Cross With Northumberland House Etc (2743),,,,Paul Mellon (1907–1999)
"painting, british landscape",PA-F00919-0057,1966,detail From Charing Cross With Northumberland House Etc (2743),,,,Paul Mellon (1907–1999)
"painting, british landscape, male portrait, group portrait",PA-F00919-0059,1966,detail From Charing Cross With Northumberland House Etc (2743),,,,Paul Mellon (1907–1999)
"painting, british landscape, group portrait",PA-F00919-0099,1977,"Stoke Gifford, Gloster",Indian ink wash,0. 362 x 0. 526 (14 1/4 x 20 3/4 inches ),,"Coles bequest 1954 to A. Paul Oppé (1878–1957). Edwards, his sale April 16, 1920. D. L. T. Oppé (2681) By descent to present owner. Anon. sale Sotheby's, Nat. 30, 1983 (47)"
"painting, british landscape, male portrait, animal portrait, watercolour",PA-F00919-0117,1977,Tunbridge Wells,Watercolour,0. 468 x 0. 622 (18 3/8 x 24 1/2 inches ),,"Crook 1925, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (1816)"
"painting, foriegn landscape, seascape",PA-F00920-0031,1969,"Murshidabad, Bengal, C 1790",,16 1/2 x 24 1/2 inches,,The Viscount Rothermere
"watercolour, foriegn landscape",PA-F00920-0035,1977,"Hotel Du Lion D'or, Modane",Watercolour,0. 068 x 0. 118 (2 5/8 x 4 5/8 inches ),,Margate 1913. D. L. T. Oppé (187b)
"painting, british landscape, foriegn landscape",PA-F00921-0011,1964,Landscape With Waterfall And Figures,Oil on canvas,27 x 23 inches,,"Bonhams, 6 January 1966 (57)"
"watercolour, drawing, british landscape, foriegn landscape",PA-F00921-0021,1977,Landscape With Trees,Watercolour and chalk,0. 170 x 0. 266 (6 5/8 x 10 1/2 inches ),,"Oxford 1900, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (1)"
"drawing, british landscape",PA-F00921-0025,1977,A Church Tower,Black and white chalk on blue paper,0. 172 x 0. 126 (6 3/4 x 5 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1119)
"painting, female portrait",PA-F00914-0017,1973,"Mary Mansel Of Llantrithyd, Wife Of Sir Thomas Aubrey",,1. 219 x 1. 016 (48 x 40 inches),Inscribed: and dated: Aetatis Suae 35/An Dni 1603,"Collection Sir John Aubrey-Fletcher, Chilton House Estate Office."
"painting, female portrait",PA-F00914-0097,1974,Lady Fairfax,,0. 762 x 0. 635 (30 x 25 inches ),,"Private, North Wales. Cat. No. 20"
"painting, female portrait",PA-F00915-0007,1985,"Katherine Hide, 2nd Wife Of Sir Nicholas Le Strange Died 1589",,,,Private Collection
"painting, female portrait",PA-F00915-0013,1985,Anne (Wodehouse) Lady L'estrange (1668-1727),,,,Private Collection
"painting, female portrait, watercolour",PA-F00915-0023,1976,Mrs Ledbitter,Pastel,0. 229 x 0. 178 (9x7 inches ),,"Anonymous sale, Phillips, (Gaynes Park) 6/7 October 1976 (179/ii)"
"painting, female portrait",PA-F00915-0047,1987,Sarah Malcolm (detail),,,,Private Collection
"painting, female portrait, royal portrait",PA-F00915-0063,1984,"Letitia, 1st Wife Of 1st Viscount Hawarden",,,,Private Collection
"painting, female portrait, royal portrait",PA-F00916-0017,1974,"Frances (Daughter Of Henry, Earl Of Sussex) Wife Of Sir Thomas Mildmay Of Moulsham",,0. 762 x 0. 508(30 x 20 inches )(Approx. ),,"Private Collection, U. K."
"painting, female portrait",PA-F00916-0141,1985,Ann (Blakeway) Styleman,,,,Private Collection
"painting, female portrait",PA-F00916-0177,1972,"Cassandra (Or Letitia) Willoughby, Wife Of Sir Thomas Wendy",,0. 762 x 0. 635 (30 x 25 inches),,"Lord Middleton, Birdsall, Yorks."
"painting, female portrait",PA-F00917-0009,1991,Unknown Elderly Lady In A Black Hat,,,,"Private Collection, London"
"painting, female portrait",PA-F00917-0045,1980,A Lady In A Black Gown With White Ruff Collar,,1. 905 x 2. 283 (75 x 50 1/2 inches ),,"Gunton Park, Norfolk, sale, 26 September 1980 (1713)"
"painting, female portrait, animal portrait",PA-F00917-0055,1985,Girl In White With Dog,,,,Private Collection
"painting, female portrait",PA-F00917-0065,1972,Unknown Lady,,,,"The Countess Waldegrave, Chewton House, Chewton Mendip"
"drawing, female portrait",PA-F00917-0069,1977,A Girl,Black and white chalk on brown paper,0. 380 x 0. 292 (15 x 11 1/2 inches ),,sale Sotheby's 27 July 1937 (54) D. L. T. Oppé (2152)
"painting, female portrait",PA-F00917-0085,1972,Unknown Portrait,,0. 889 x 0. 508 (35 x 20 inches),,"The Guildhall, Barnstaple"
"painting, female portrait",PA-F00917-0089,1966,Unknown Lady,,24 x 19 1/8 inches,,"Miss A. Mary Shaw, M. A."
"painting, female portrait, british landscape",PA-F00917-0093,1972,A Girl In A Plumed Hat Looking Out Of A Window,On board,0. 444 x 0. 342 (17 1/2 x 13 1/2 inches ),Signed with monogram and dated 1873.,"Anonymous sale, Christie's, s 15 December 1972 (41), bought Gledhill"
"painting, british landscape",PA-F00918-0013,1977,"View Of Averham Park, Nottinghamshire, From The West",,1. 485 x 2. 82(58 1/2 x 111 inches ),,"sale Henry Spencer & Sons, Retford, 9 April 1976 (withdrawn) Mr and Mrs Guy Tetley."
"painting, british landscape",PA-F00918-0039,1964,A Bird's View Of Charlecote,Oil on canvas,57 x 60 inches,,Charlecote Park
"painting, british landscape",PA-F00918-0047,1985,View Of Claremont,,,,Private Collection
"watercolour, british landscape, miniature",PA-F00918-0091,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no. )
"drawing, british landscape",PA-F00918-0111,1977,"Downton Castle, Salop","Pen, brown ink and grey wash",0. 266 x 0. 400 (10 1/2 x 15 3/4 inches ),,"Sotheby's, 19 March 1947 (67) D. L. T. Oppé (2330)"
"painting, group portrait, male portrait",PA-F00910-0017,1974,Conversation Piece,,0. 700 x 0. 900 (27 1/2 x 35 1/2 inches ),,"Mrs Noel Whittingham, Old Hall, Bramham, her sale, Henry Spencer & Sons, 25 February 1976 (270)"
"painting, group portrait, female portrait",PA-F00912-0005,1964,Lady Jane Matthew And Her Daughters Ra 1964 (230),Oil on canvas,35 5/8 x 35 3/4 inches,,Paul Mellon (1907–1999)
"painting, group portrait, female portrait, male portrait",PA-F00912-0009,1972,"Lord Chancellor, Lord North (Aged 80) And His Wife (Aged 79)",,,,"The National Trust, The Vyne. (Sir Charles Chute, 1956)"
"painting, group portrait, female portrait, male portrait, animal portrait, british landscape",PA-F00912-0015,1970,"Hon George Pitt And His Sister, Mrs Lane -Fox (View Of Strathfieldsaye Behind)",,,,Prov General Pitt Rivers (1827–1900) (1895)
"painting, group portrait, female portrait, male portrait",PA-F00912-0031,1979,Commemorative Triptych Of The St John Family,,,,"St Mary's, Lydiard Tregoze, Wilts."
"painting, group portrait, female portrait, male portrait, royal portrait",PA-F00912-0037,1979,Commemorative Triptych Of The St John Family,,,,"St Mary's, Lydiard Tregoz, Wilts."
"painting, group portrait, female portrait, british landscape",PA-F00912-0047,1985,Jamesina (Grant Fraser) Campbell & Stewart (1783 - 1861) And Mary Campbell Stewart (1810 - 1889),,,,Private Collection
"painting, group portrait, female portrait, male portrait",PA-F00912-0051,1981,Called The Tyers Family,,0. 84 x 1. 257 (33 x 49 1/2 inches ),The man on left carries a letter Inscribed: Mrs Tyers/No. 39 Little Eastcheap/London,Thomas Sainsbury
"watercolour, miniature, male portrait",PA-F00913-0005,1977,Unknown Man (Said To Be Hamilton),Watercolour on card: miniature,0. 054 (2 1/16 inches High),Inscribed: ( ) HH (Illegible) - Aetatis -,Private Collection
"painting, male portrait, royal portrait",PA-F00913-0009,1972,"Called James, 1st Earl Waldegrave (1685 - 1741) Sir Edward Walpole",,,,"The Countess Waldegrave, Chewton House, Chewton Mendip"
"painting, female portrait",PA-F00914-0053,1987,Rev Mother Catherine Chambers Ibvm,,,,"Ascot, St. Mary's Convent"
"painting, female portrait",PA-F00914-0093,1972,"Isabella Elwes (1830-1868) Wife Of J H E Elwes Of Stoke College, Suffolk",,0. 292 x 0. 242 (11 1/2 x 9 1/2 inches),,By descent to the present owner. Private Collecton.
"painting, female portrait",PA-F00914-0115,1989,Selina Frewen,,0. 737 x 0. 610 (29 x 24 inches ),,Brickwall House School E. Sussex
"painting, female portrait",PA-F00915-0011,1985,Christian Isabella (Harvey) L'estrange (-1756),,,,Private Collection
"painting, female portrait",PA-F00915-0049,1987,Sarah Malcolm (detail),,,,Private Collection
"painting, female portrait, animal portrait, british landscape",PA-F00915-0067,1977,Hon Augusta Charlotte Elizabeth Hall,,0. 635 x 0. 738 (25 x 29 inches ),,Private Collection
"painting, female portrait, royal portrait",PA-F00916-0011,1984,"Lady Harriet Jocelyn, Viscountess Massareene",,,,Private Collection
"painting, female portrait",PA-F00916-0025,1966,Portrait Of J H Mortimer's Mother,,,,"Andrew Robinson, Reading"
"painting, female portrait",PA-F00916-0063,1985,Blanche Ashley Wife Of Edward Pratt,,,,Private Collection
"painting, female portrait",PA-F00916-0127,1974,"Althea, Daughter Of William Snelling Of Holborn, M 1753 Simon Fanshawe Of Dengie She Died 1805 (D 1777)",,0. 762 x 0. 635 (30 x 25 inches ),,"Private Collection, Essex."
"painting, female portrait",PA-F00916-0139,1985,Armine (Le Strange) Styleman,,29 1/2 x 24,,Private Collection
"painting, female portrait",PA-F00916-0145,1985,Catherine Henley (Mrs Styleman,,,,Private Collection
"painting, male portrait",PA-F00906-0155,1972,"John Ross (1719–1792), Bishop Of Exeter (1778–1792)",,0.762 x 0.635 (30 x 25 inches),,"Bishop's Palace, Exeter."
"painting, male portrait",PA-F00906-0165,1985,Thomas Ruggles,,,,Private Collection
"painting, male portrait, royal portrait",PA-F00906-0169,1969,Lord Francis Russell,Panel,0.864 x 0.629 (34 x 23 3/4 inches),,the Duke of Bedford
"painting, male portrait",PA-F00908-0005,1972,"Rev S Thompson, Vicar Of Barnstaple 1710–1734",,0.889 x 0.508 (35 x 20 inches),,Presented by the sitter's family to Barnstaple Guildhall.
"painting, male portrait",PA-F00908-0015,1972,"Sir John Tregonwell (D1565) Of Milton Abbey, Dorset,Master In Chancery, And Mp",,0.737 x 0.609; (29 x 24 inches),Dated 1535 and Inscribed left. Nosce / Teipsum,By descent to the present owner; Private Collecton.
"painting, male portrait, royal portrait, british landscape",PA-F00908-0023,1972,"George, 5th Earl Waldegrave (1784–94)",,,,"Countess Waldegrave, Chewton House, Chewton Mendip"
"painting, male portrait",PA-F00908-0033,1972,"Seth Ward (1616–1688/89), Bishop Of Exeter 1662–1667), Bishop Of Salisbury (1667–1689)",,0.762 x 0.635 (30 x 25 inches),,"Bishop's Palace, Exeter"
"painting, male portrait",PA-F00908-0079,1972,Francis Willoughby (D1672),,,,"Lord Middleton, Birdsall, Yorks."
"painting, male portrait",PA-F00908-0119,1973,"Dr James Yonge, Frs (1647 – 1721)",,1.27 x 1.015 (50 x 40 inches),,"Commander Philip Yonge RN, Puslinch, Yealmpton, Nr. Plymouth, Devon."
"painting, male portrait",PA-F00909-0013,1984,Unknown Man,Pastel,,,Private
"painting, male portrait",PA-F00909-0017,1984,EDMUND GOODENOUGH,,,,Westminster School
"painting, male portrait, miniature",PA-F00909-0031,1977,"Unknown Man, 1610",Oil miniature,0.047 (1 1/2 inches high),Inscribed: Aetatis 21 Anno 1610,Private Collection
"painting, male portrait",PA-F00909-0037,1972,Unknown Portrait (John Penrose),,0.889 x 0.508 (35 x 20 inches),Inscribed: Aet. S 26/Ano . 1601/1737,"The Guildhall, Barnstaple"
"painting, male portrait",PA-F00909-0069,1979,Unknown Gentleman,,,,Lord Brownlow
"painting, male portrait",PA-F00909-0093,1984,Unknown Sitter,,,,Westminster School
"painting, male portrait",PA-F00909-0097,1975,Study Of A Pathan Indian,Heightened with bodycolour,0.235 x 0.21 (9 1/4 x 8 1/4 inches),,"Anonymous sale, Sotheby's 19 June 1975 (84)"
"painting, male portrait, female portrait, group portrait",PA-F00910-0041,1979,Unknown Family Group,,,,Lord Brownlow
"painting, female portrait, group portrait",PA-F00910-0051,1964,Lady Sewing And Her Two Daughters Reading By Candlelight Ra 1964 (150),Canvas,14 x 12 inches,,Paul Mellon (1907–1999)
"painting, male portrait, group portrait, british landscape",PA-F00910-0057,1991,Two Boys Blowing Bubbles,,,,Private Collection
"painting, male portrait, female portrait, group portrait",PA-F00912-0011,1973,"John Patoun Of Inveresk And His Daughter, Later Lady Hope",,0. 825 x 0. 991 (32 1/2 x 39 inches),,"Sir Archibald Hope, bought , Upton Grey Lodge, Basingstoke."
"painting, female portrait",PA-F00915-0015,1985,"Anne, Daughter Of Lord Vaux And Wife Of Thomas Le Strange",,,,Private Collection
"female portrait, drawing",PA-F00915-0037,1976,Violet Hunt,Red chalk,0. 265 x 0. 215 (10 1/2 x 8 1/2 inches ),Initialled ESM,"The National Trust, Wightwick Manor"
"female portrait, drawing, royal portrait",PA-F00915-0071,1973,Elizabeth Wife Of The 1st Barl Grey,,1. 270 x 1. 016 (50 x 40 inches ),,"By family descent to Lady Mary Howick, Howick Grange, Alnwick, Northumberland."
"painting, female portrait",PA-F00916-0019,1972,Adah Monro,,0. 584 x 0. 458 (23 x 18 inches),,By descent to the present owner. Private Collecton.
"painting, female portrait",PA-F00916-0021,1972,Henrietta Lewina Monro,,0. 458 x 0. 356 (18 x 14 inches),,By descent to the present owner. Private Collecton.
"painting, female portrait",PA-F00916-0029,1974,"Mary Napier, Lady Myddelton,",,1. 27 x 1. 015 (50 x 40 inches ),,"Private Collection, North Wales (cat. No. 64)"
"painting, female portrait",PA-F00916-0043,1975,"Winifred, Daughter Of Robert, Lord Rich, Wife Of Sir Henry Dudley And Later, Of Roger, 2nd Lord North",,0. 370 x 0. 290 (14 1/2 x 11 1/2 inches ),Inscribed: Aetatis Suae. Ano. Dni. 1566.,Private Collection
"painting, female portrait",PA-F00916-0075,1979,Mary Rich,,1. 22 x 0. 965 (48 x 38 inches ),Dated 1697-1742 and Inscribed on the reverse,"Anonymous sale, Bonhams 1 November 1979 (215-as by T. Kettle)"
"painting, female portrait",PA-F00916-0161,1972,A Lady Of The Waldegrave Family,,,,"The Countess Waldegrave, Chewton House, Chewton Mendip"
"painting, female portrait",PA-F00916-0185,1976,Ursula (Mrs Yates) Daughter To Mr & Mrs Ledbitter,Pastel,0. 229 x 0. 178 (9 x 7 inches ),,"Anonymous sale, Phillips, (Gaynes Park) 6/7 October 1976 (179/iii)"
"painting, female portrait",PA-F00917-0049,1972,Unknown Lady,,0. 762 x 0. 635 (30 x 25 inches),,"Lord Middleton, Birdsall, Yorks"
"painting, female portrait",PA-F00917-0059,1972,Portrait Of An Unknown Lady,,,,"Countess Waldegrave. Chewton House, Chewton Mendip"
"drawing, female portrait",PA-F00917-0071,1977,Head Of A Woman,Pencil,0. 235 x 0. 188 (9 1/4 x 7 3/8 inches ),,A. Paul Oppé (1878–1957) 1936. D. L. T. Oppé (2123B)
"drawing, female portrait",PA-F00917-0083,1977,A Lady,Pastel,0. 248 x 0. 165 (9 3/4 x 6 1/2 inches ),,"Levine 1921, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (1378)"
"painting, female portrait",PA-F00917-0091,1972,Portrait Of A Woman,Oil without varnished finish,0. 317 x 0. 228 (12 1/2 x 9 inches ),Signed with monogram and dated 1877,"Anonymous sale, Christie's, 10 November 1972 (216), bought Thomas. Bonfiglioli, Oxford."
"painting, british landscape",PA-F00918-0051,1985,View Of Claremont,,,,"Private Collection, London"
"painting, british landscape",PA-F00918-0085,1973,The East Prospect Of Greenwich Park With Distant View Of London,,,,
"painting, british landscape, miniature",PA-F00918-0093,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé ( no no. )
"painting, british landscape, miniature",PA-F00918-0095,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no)
"painting, british landscape, miniature",PA-F00918-0097,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no. )
"painting, british landscape, miniature",PA-F00918-0109,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no)
"painting, british landscape, miniature",PA-F00919-0041,1977,"Mistley Hall, Seat Of The Rt Hon Richard Rigby Esq",Pen and grey wash,0. 182 x 0. 280 (7 1/8 x 11 inches ),,A. Paul Oppé (1878–1957) 1919. D. L. T. Oppé (759)
"british landscape, drawing",PA-F00919-0043,1989,Michelham Priory,Pencil with traces of bodycolour,,,Private Collection (on loan to Michelham Priory)
"painting, british landscape, miniature",PA-F00921-0049,1977,Cottage And Distant Views,Pen and bistre wash,0. 050 x 0. 158 (2 x 6 1/4 inches ),,A. Paul Oppé (1878–1957) 1924. D. L. T. Oppé (1684)
"painting, seascape",PA-F00922-0025,1964,Seascape,,,,"Commander M. D. Joel, R. N."
"drawing, male portrait",PA-F00923-0021,1977,Male Nude,Pen,,,A. Paul Oppé (1878–1957) 1922. D. L. T. Oppé (1505)
"painting, watercolour, male portrait, female portrait, animal portrait, group portrait",PA-F00924-0017,1984,Two Children In An Interior,Watercolour,,,Private Collection
"painting, watercolour, male portrait, female portrait, group portrait",PA-F00924-0025,1966,Two Children Asleep In A Wood,Oil on copper panel,12 x 15 inches,,Bonhams 3 November 1966 (107)
"drawing, male portrait, group portrait",PA-F00925-0029,1977,Lord Burlington: A Caricature,Pen and grey wash,0. 172 x 0. 250 (6 3/4 x 9 7/8 inches ),,A. Paul Oppé (1878–1957) 1934. D. L. T. Oppé (2061)
"drawing, male portrait, group portrait, female portrait",PA-F00925-0037,1977,Grown Ladies Taught To Dance,Pen and washes,0. 292 x 0. 520 (11 1/2 x 20 1/2 inches ),,A. Paul Oppé (1878–1957) 1927. D. L. T. Oppé (1852)
"drawing, group portrait, female portrait",PA-F00925-0045,1977,The Three Graces,Pen,0. 172 x 0. 146 (6 3/4 x 5 3/4 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1106)
"painting, male portrait, group portrait, historical event",PA-F00925-0059,1980,Historical Subject,,,,National Trust : Felbrigg Hall
"historical event, male portrait",PA-F00925-0065,1974,The Execution Of Admiral Byng,,,,"Anonymous sale, Christie's, 4 June 1974 (16/3) (as Serres) bought Taylor"
"historical event, male portrait, group portrait, female portrait, miniature",PA-F00925-0085,1977,Decapitation Of St John,Pen and brown wash,0. 162 x 0. 150 (6 3/8 x 5 7/8 inches ),,"Crook 1924, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (662)"
"historical event, male portrait, group portrait, miscellaneous engraving",PA-F00927-0005,1993,"Freemasons, London,",,,Engraving,British Museum
"british landscape, drawing, foriegn landscape, miscellaneous drawing",PA-F00927-0031,1980,Colin's Song (A Songsheet) With Added Pen And Ink Drawing,With added pen and ink drawing,,,Museum of London
"drawing, miscellaneous drawing, miscellaneous engraving, male portrait",PA-F00927-0033,1974,Hats,,,Engraving,Paul Mellon (1907–1999)
"painting, british landscape",PA-F00927-0035,1974,The Grand Pavilion In The Green Park London,,,Engraving,Paul Mellon (1907–1999)
"painting, animal portrait, male portrait",PA-F00928-0053,1970,White Horse With Boy And Dog,Oil on canvas,,,
"painting, british landscape, seascape",PA-F00919-0047,1966,Old Westminster Bridge Company,Oil on canvas,12 1/2 x 23 inches,,"Stanley Kish Esq. ,"
"painting, british landscape, group portrait",PA-F00919-0067,1966,Cricket Near Rosamund's Pond In St James Park,,,,Lady Rook
"painting, british landscape",PA-F00919-0119,1977,St Aldate's Church With Tom Tower,Watercolour and pen,0. 318 x 0. 464 (12 3/4 x 18 1/4 inches ),,A. Paul Oppé (1878–1957) 1926. D. L. T. Oppé (1834)
"painting, british landscape",PA-F00919-0133,1985,Ystradfellte,,0. 285 x 0. 375 (11 1/4 x 14 3/4 inches ),,Private Collection Norfolk
"painting, foriegn landscape",PA-F00920-0019,1973,"View Of Piazza Del Popolo, Rome",,1. 016 x 1. 270 (40 x 50 inches),,"Painted for chief Justice Carter as an overmantle For Chilton House Ca. 1747. By descent from lady Aubrey-Fletcher's family Sir John Aubrey-Fletcher, Bart. Chilton Gate House, Chilton, Bucks."
"painting, foriegn landscape, watercolour",PA-F00920-0021,1974,Rome - Arco Di Giano And Arco Degli Argentari,Watercolour,0. 382 x 0. 521 (15 x 21 1/2 inches ),,"Private, London."
"painting, foriegn landscape, watercolour",PA-F00920-0065,1977,Amptheatre Of Capua,Watercolour,0. 425 x 0. 660 (16 3/4 x 26 inches ),Inscribed: with title and Signed JB 1764,"sale, Puttick, 26 February 1918 (260) D. L. T. Oppé (544)"
"painting, foriegn landscape",PA-F00920-0071,1970,House At Calcutta,,,,"Victoria Memorial, Calcutta"
"drawing, miniature",PA-F00921-0029,1977,A College Crypt,Pen and grey wash,0. 150 x 0. 146 (5 7/8 x 5 3/4 inches ),,A. Paul Oppé (1878–1957) 1925. D. L. T. Oppé (1781b)
"painting, foriegn landscape",PA-F00921-0031,1976,A Ruined Castle On A Hill,Grey wash,0. 219 x 0. 273 (8 5/8 x 10 3/4 inches ),Inscribed: By John Martin 1837,"Anonymous sale, Christie's, 12 October 1976 (65)"
"painting, foriegn landscape, watercolour",PA-F00921-0045,1977,Park Scene With Boy,Watercolour,0. 272 x 380 (10 7/8 x 15 inches ),,"sale Fosters 26 October 1921, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (1377)"
"painting, foriegn landscape, watercolour, miniature",PA-F00921-0051,1977,Hill Between Two Clumps Of Trees,Pen and bistre wash,0. 047 x 0. 170 (1 7/8 x 6 3/8 inches ),,A. Paul Oppé (1878–1957) 1924. D. L. T. Oppé (1684)
"drawing, male portrait",PA-F00923-0031,1977,Nude Male Figure,Pencil on washed paper,0. 330 x 0. 235 (13 x 9 1/4 inches ),,A. Paul Oppé (1878–1957) 1919. D. L. T. Oppé (751)
"drawing, male portrait",PA-F00923-0033,1977,Male Figure,Pen,,,A. Paul Oppé (1878–1957) 1922. D. L. T. Oppé (1505)
"drawing, female portrait, miniature",PA-F00923-0041,1977,Flying Muse With Harp,Pen,0. 146 x 0. 115 (5 3/4 x 4 1/2 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1106)
"painting, foriegn landscape, female portrait",PA-F00923-0043,1977,Saint And Dragon,Pen and watercolour,0. 185 x 0. 288 (7 1/4 x 11 3/8 inches ),,"Meatyard 1921, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (1265)"
"painting, male portrait",PA-F00924-0019,1974,Caricature,Gouache,,"Inscribed: """"Paddy, I""ll toss you for some Backy. I""m starving for a Pipe"""" """"I dare say you are Larry, but you""l toss no body here"""".",Private
"drawing, female portrait, minitaure",PA-F00924-0023,1977,Two Girls,Pen,0. 108 x 0. 108 (4 1/4 x 4 1/4 inches ),,A. Paul Oppé (1878–1957) 1924. D. L. T. Oppé (1726)
"painting, foriegn landscape",PA-F00925-0089,1964,The Field Of The Cloth Of Gold,,1. 689 x 3. 473 (66 1/2 x 135 7/8 inches ),,"At Greenwich (King's first Privy Gallery) Commonwealth sale 23 October 1653, bought Captain Stone. Returned to Crown at Restoration, placed in King's Privy Gallery, Whitehall. Lent to Society of Antiquaries by George III. Returned to Windsor 1828. H. M. T"
"miscellaneous designs, miscellaneous drawing, miscellaneous painting",PA-F00927-0017,1993,Sacheverell Playing Cards - Schreiber Collection,,,,British Museum
"miscellaneous designs, miscellaneous painting, miscellaneous engraving",PA-F00927-0023,1993,William Joyners Trade Card,,,,British Museum
"still life, painting, animal portrait",PA-F00928-0025,1972,"Still Life With Peacock, Game Etc",,,,"Lord Middleton, North Grimston House, Birdsall, Yorkshire"
"interior, painting",PA-F00929-0003,1974,"Thirlestaine House, An Interior Showing Lord Northwick's Collection",,,,D J Fitz-Gerald
"painting, female portrait",PA-F00916-0173,1972,Lady Cassandra (Ridgway) Wife Of Sir Francis Willoughby,,0. 762 x 0. 635 (30 x 25 inches),"Inscribed, top l. AN DNI 1661 AETATIS SUAE 61.","Lord Middleton, Birdsall, Yorks."
"drawing, female portrait",PA-F00917-0095,1977,Seated Woman,Black and white chalk on brown paper,,,D. L. T. Oppé (1896f)
"painting, british landscape",PA-F00918-0045,1985,View Of Claremont,,,,Private Collection
"painting, british landscape",PA-F00918-0049,1985,View Of Claremont,,,,Private Collection
"painting, british landscape",PA-F00918-0053,1985,View Of Claremont,,,,Private Collection
"painting, british landscape, watercolour, miniature",PA-F00918-0101,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no)
"painting, british landscape, watercolour, miniature",PA-F00918-0103,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no)
